Edad,Genero,Promedio_calificaciones_semestre_anterior,Asignaturas_reprobadas,Asignaturas_aprobadas,Numero_semestres_matriculado,Asistencia,Distancia_universidad,Trabaja,Frecuencia_consumo_alcohol,Consumo_tabaco,bica,trica,Desercion
24,1,7.823395321607595,2,3,9,64.5572181427428,26.039388801927085,0,1,0,1,0,1
21,0,5.459187497126299,0,5,2,4.55851579486688,17.49317271839694,0,2,1,1,0,1
30,1,9.533536566607367,3,4,3,94.59708898455993,21.540425343810046,1,1,1,0,1,1
28,0,0.8875332706647354,2,2,8,84.2165376650381,11.16130703436622,0,1,1,0,0,1
25,0,17.043870666940155,0,5,1,29.661248215709314,2.773485511111998,1,0,1,0,0,0
30,0,0.7084473683709014,4,2,10,7.718753022646796,13.737008853812142,1,1,1,0,0,1
22,1,6.58102730739742,4,4,7,16.98870732190573,11.834381725165725,1,2,1,0,0,1
24,0,18.631789766379796,4,3,7,12.694441375497266,26.01180547136842,1,1,0,0,0,0
27,0,14.704253090469056,4,2,1,12.328377929894685,7.319859070574167,1,1,0,0,0,0
20,0,5.627819211550536,1,1,9,51.85616886657339,29.002026826053243,0,1,0,0,0,1
24,1,5.052981879217702,3,1,8,24.58474424934003,28.744143594134883,1,1,0,0,0,1
28,1,0.10164279636051932,3,5,4,35.81397165291445,7.428949292143161,1,1,0,0,0,1
28,1,13.914285856995004,1,4,10,98.95053333843225,10.441558664319615,0,0,0,0,0,0
25,1,0.9756716334634619,2,5,5,68.43142489253448,26.86667222621655,1,2,0,1,0,1
22,1,10.652050388015242,2,5,2,94.89806670470014,28.998666626883224,1,0,0,0,0,0
21,0,19.242439451840994,4,6,9,14.255655503311559,13.30317308508132,0,2,1,1,0,1
25,1,2.1893772010890777,0,5,6,38.21394748325693,9.629911369226935,0,2,1,0,0,1
25,1,17.889598619361347,2,6,3,55.47318032823543,15.782820397546262,1,2,1,0,0,0
20,1,19.829506702900964,0,1,7,7.675806188873802,20.633076190972044,0,2,1,0,1,1
23,0,1.230340524784701,3,1,9,0.41874436279578653,8.204235461249393,1,2,1,0,0,1
22,1,17.658125382749226,0,5,3,67.04343337969175,22.094195238572183,0,1,1,0,0,0
19,1,10.321580408872332,3,1,2,64.18195168014353,1.549720713439231,1,0,1,0,0,0
25,0,18.1302743888916,1,4,7,41.07888099996118,1.4788347829324933,1,0,0,0,0,0
29,1,11.426378838391482,1,6,7,48.96440760320326,11.588631154366357,1,1,0,0,0,0
23,0,13.242240202131292,4,6,4,41.54430005920896,10.604195761821618,0,2,1,0,0,0
19,0,10.875578159947985,2,5,9,2.4005044844888856,9.468996461014568,1,0,0,0,0,0
29,0,17.28985760614697,4,1,8,33.537160621746246,14.7305928800673,0,1,0,0,0,0
22,0,14.678198379074034,3,2,1,17.708225539728982,9.622007469347137,1,1,0,0,0,0
18,0,10.425206243608297,4,6,1,9.842418910136875,5.767737554042758,1,0,0,0,0,0
29,1,17.363216081030938,0,5,5,95.67204338893498,9.284086472658027,1,0,0,0,0,0
27,0,4.905710645106691,3,5,6,59.935972504216565,29.247128184307048,1,2,1,0,0,1
23,0,3.1468131940505195,1,4,3,72.86562842366027,12.333402509845458,1,2,0,1,0,1
30,1,3.208002106601442,2,3,9,31.53637432661175,13.341383305750073,0,0,1,0,0,1
29,0,6.680177574904757,3,3,10,39.31471294940152,17.2963496985342,0,2,1,1,0,1
26,1,4.77380062602035,3,6,6,23.692399389672346,29.500223052426797,0,1,1,0,0,1
18,1,18.601807010194772,0,4,4,9.696567096542474,7.248038293072891,1,2,0,0,0,0
28,1,2.11668187657168,2,4,7,17.90316374415838,20.438463315973014,1,2,1,0,0,1
28,0,13.979814760791754,1,4,8,79.75140452964858,21.479540806251723,0,1,1,0,0,0
27,0,3.7844307957001178,3,6,9,67.75458051837758,18.219732503791978,1,2,1,1,0,1
29,0,17.632742655407004,3,3,6,54.69288759854769,2.657350189099322,1,1,1,0,0,0
29,1,19.22630576369815,0,4,6,47.508987286676806,20.306168274827293,1,2,0,0,0,0
20,0,9.309400175399672,4,1,8,92.24342836561244,1.9228413310852643,0,0,1,0,1,1
29,0,17.581429604562633,1,5,5,7.273494777866841,17.884279486496908,0,2,1,0,0,0
24,0,0.10290341509429535,2,5,3,28.060081323791596,22.18743531665228,0,0,1,0,0,1
21,1,16.398938348162,3,2,3,34.9937853570714,6.329096718598512,0,0,1,0,0,0
26,1,4.57250323049847,3,2,6,78.24258122127878,25.24866022628322,0,0,0,0,0,1
20,0,18.17402618538736,1,6,2,99.25146201619714,0.9106141659901279,1,0,1,1,0,1
22,0,0.022402229602189738,4,6,6,24.067051475715306,25.314385909749184,1,0,1,1,1,1
20,0,11.12363470079514,3,5,6,87.43073341370805,13.809871519282952,1,1,1,0,0,0
24,0,15.132716075698694,1,1,8,83.06227604317912,6.527638197949335,1,1,1,0,0,0
22,1,5.1737666139581595,0,3,7,22.46573976417666,4.01334434981904,0,1,1,0,0,1
26,1,3.8626572917458613,4,3,8,39.933258019922256,28.599215027471175,0,0,1,0,0,1
24,1,1.681964489359693,2,6,9,40.96728692925191,2.179967627434701,1,2,0,0,0,1
19,1,6.528671530065859,3,1,6,97.82206685265584,5.97280259807777,0,1,1,1,0,1
21,0,11.19688624617659,1,6,3,18.089190137889833,10.43467042299138,1,2,0,0,0,0
26,0,2.316877135605153,0,3,10,79.91579711047821,18.607045468833615,1,2,0,0,0,1
29,0,7.533907239735975,2,6,3,33.419271417310995,16.34403255828295,1,0,1,1,0,1
19,1,0.18144809305449927,1,4,1,73.08703457761604,3.7693047723694195,1,0,0,0,0,1
27,0,16.373588409996835,1,6,5,42.001100429566286,8.691839512146439,0,0,1,0,0,0
26,1,2.568974361863827,2,5,4,57.835976311654,7.162553132580722,1,1,0,0,0,1
27,1,5.666858965311632,0,6,9,83.26117733261312,6.406285634710241,0,0,1,0,0,1
22,0,0.3685543747643494,0,5,9,80.41655649838842,12.334330094399611,1,1,0,0,0,1
19,0,8.644815677850247,4,1,5,86.64231835397001,21.120943577749706,1,1,0,0,0,1
21,0,16.802430054824377,3,3,10,5.961732534465902,6.523587966517078,1,1,1,0,0,0
29,1,7.843024228903932,2,2,4,69.20505530397449,11.000366391089443,1,1,0,0,0,1
29,0,3.589946468476668,2,2,7,13.998737672176286,11.727522805234868,0,0,0,0,0,1
24,1,15.073976681010384,2,3,6,41.5818568018411,29.293695883062306,1,1,0,0,0,0
29,0,15.776139637414886,0,2,4,54.858841505468845,28.639990706372068,0,0,0,0,0,0
30,1,3.475069506151336,3,6,10,40.273948474683074,24.00412748256228,1,0,0,1,0,1
25,1,15.417082170819796,4,1,2,51.961167580300746,7.249767624575555,1,1,1,0,0,0
20,0,18.94595776512676,1,1,1,99.65263087986192,2.0411194227500906,1,0,0,0,0,0
18,1,3.3275517386454467,1,3,4,13.521731371285473,9.507124131618742,0,2,0,0,0,1
21,1,15.419685850642711,2,2,4,67.54560453364256,8.003836483014926,1,0,1,1,0,1
19,0,14.171440092052588,3,6,1,39.600096638561524,15.177774004391816,1,0,1,0,0,0
25,1,9.47147776870177,0,1,6,13.300979890732878,23.331837302033794,1,1,1,0,0,1
21,0,1.1584092111759658,3,1,4,15.873676337430954,25.74968816636574,1,1,0,1,0,1
19,1,1.4938883551570803,3,4,1,94.92731062456168,25.345922562315256,1,0,0,1,0,1
23,0,17.04829318397295,0,4,1,87.9601496711762,10.790266836692034,0,1,0,0,0,0
23,0,19.80296745501294,2,1,1,90.70419604150219,20.61703030382049,0,2,0,0,0,0
27,1,13.521045143735089,3,3,8,99.15327758273865,9.385025925726602,1,2,1,0,0,0
21,1,8.919166140206428,1,5,10,20.831539000851794,1.8271662970554814,1,1,1,0,0,1
23,1,12.951472868038152,0,5,8,35.543933736406174,21.046957968088268,0,0,0,0,0,0
30,1,11.887917184570906,4,6,2,66.92190299248666,0.29482657709363536,1,2,0,0,0,0
19,1,7.672245208112436,2,1,7,48.38025398606472,12.275477623754657,0,2,0,0,0,1
27,0,1.312522891480259,0,1,8,41.83895333783335,9.881378079062271,1,0,0,0,0,1
29,1,16.43025894814882,4,1,8,35.781124933559305,20.801326155565572,1,1,1,1,0,1
19,0,7.436670584774491,4,3,10,59.37806319434522,22.98736418281137,0,2,1,0,0,1
27,0,16.375712867141875,3,4,7,57.5593428640082,9.122839079138515,1,0,0,0,0,0
21,1,5.050174993767644,3,1,5,16.14578340642401,24.348810433345605,0,0,1,0,0,1
25,0,0.02058959691266793,3,1,1,47.173983751843906,8.817502815148012,0,2,0,0,0,1
24,0,3.1787656655351304,0,2,9,55.347177620984986,13.389790799596836,0,1,0,1,0,1
29,0,9.370788335371687,0,3,7,57.02869387313905,21.810555810424017,1,2,1,0,0,1
26,0,18.886072699156596,2,6,2,21.01071929123518,20.787606876743656,0,0,0,0,0,0
25,1,2.0438723938743797,3,1,6,74.22713922522868,29.621054169366,0,2,1,0,0,1
22,0,17.08419548923132,4,2,2,2.5199094821069634,6.754830726477956,1,1,0,0,0,0
30,1,10.540481924237241,1,5,1,35.483185554316265,19.869537406187472,1,0,1,1,0,1
19,1,16.51841531599793,2,6,7,78.02126485356335,18.29045724827332,1,1,0,0,0,0
22,0,5.967488619799852,0,1,2,56.389292105540235,27.452953634700897,1,2,1,0,0,1
25,1,16.798943293449437,2,1,2,26.116243251086026,4.690864249346252,1,2,0,0,0,0
27,1,15.45645560033609,2,2,5,69.49531193430477,22.55394490760799,1,1,0,0,0,0
26,1,4.601073660628678,2,3,5,56.73909441560734,17.04805848806305,0,2,1,0,0,1
29,0,2.626702528187561,2,1,7,79.62436094563871,8.239976093637162,1,1,0,0,0,1
29,1,17.361086450645857,1,5,1,73.50251861898234,14.233047424415222,0,2,1,1,0,1
29,1,19.264733068802638,3,1,8,61.01079220362347,10.013297912093934,1,1,1,0,0,0
30,1,0.6260462749503248,4,5,3,48.8177675310814,17.379402083653826,0,1,0,0,0,1
26,0,14.625401339473711,2,6,4,13.31821256675234,26.670018324439976,0,0,0,1,0,1
30,1,18.190490218956366,2,6,9,26.133301788538375,17.07914953236606,1,0,0,0,0,0
30,0,17.147201841849974,2,4,4,41.90994729170853,18.95167254979752,1,1,0,0,0,0
18,0,19.290409445404173,3,4,10,59.92992870063887,15.562435413441284,0,2,1,0,0,0
